ring	date	sex	age	site
EC60701	2021-11-07	F	A	Kienbach
EC60730	2018-12-08	M	A	Wuerm
EC60746	2018-12-08	M	A	Wuerm
EC60735	2018-12-08	M	A	Wuerm
EC60734	2018-12-08	F	A	Wuerm
EC60745	2018-12-08	M	A	Wuerm
EC60703	2019-01-02	F	A	Aubach
EC63510	2022-01-23	M	A	Wuerm
EC63502	2022-01-23	M	A	Wuerm
EC60779	2022-01-23	F	A	Wuerm
EC63535	2022-02-17	F	A	Luessbach
EC60779	2022-02-17	F	A	Wuerm
EC60781	2022-02-17	M	A	Wuerm
EC60800	2022-02-17	F	A	Wuerm
EC60735	2018-06-16	M	A	Wuerm
EC60706	2018-07-15	F	A	Wuerm
EC60728	2018-09-01	M	A	Wuerm
EC60707	2018-09-01	M	A	Wuerm
EC60717	2018-09-01	F	A	Wuerm
EC60733	2018-09-01	U	A	Wuerm
EC60706	2018-09-01	F	A	Wuerm
EC60707	2018-09-01	M	A	Wuerm
EC60728	2018-09-08	M	A	Wuerm
EC60707	2018-09-08	M	A	Wuerm
EC60706	2018-09-08	F	A	Wuerm
EC60735	2018-09-30	M	A	Wuerm
EC60703	2018-11-17	F	A	Aubach
EC60701	2018-11-17	F	A	Kienbach
EC60745	2018-11-17	M	A	Wuerm
EC60735	2018-11-17	M	A	Wuerm
EC60705	2018-11-17	M	A	Wuerm
EC60706	2018-11-17	F	A	Wuerm
EC60711	2018-12-02	F	A	Wuerm
EC60728	2018-12-08	M	A	Wuerm
EC60717	2018-12-18	F	A	Wuerm
EC60708	2018-12-18	F	A	Wuerm
EC60745	2018-12-19	M	A	Wuerm
EC60745	2018-12-31	M	A	Wuerm
EC60734	2018-12-31	F	A	Wuerm
EC60706	2019-01-02	F	A	Wuerm
EC60717	2019-01-02	F	A	Wuerm
EC60708	2019-01-02	F	A	Wuerm
EC60735	2019-01-27	M	A	Wuerm
EC60730	2019-01-27	M	A	Wuerm
EC60746	2019-02-10	M	A	Wuerm
EC60730	2019-02-10	M	A	Wuerm
EC60734	2019-02-01	F	A	Wuerm
EC60735	2019-02-01	M	A	Wuerm
EC60717	2019-02-07	F	A	Wuerm
EC60730	2019-02-08	M	A	Wuerm
EC60746	2019-02-09	M	A	Wuerm
EC60734	2019-02-09	F	A	Wuerm
EC60717	2019-02-14	F	A	Wuerm
EC60717	2019-02-16	F	A	Wuerm
EC60717	2019-02-18	F	A	Wuerm
EC60711	2019-02-19	F	A	Wuerm
